playerID,overallrating,Position,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,Speed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,DefensiveAwareness,StandingTackle,SlidingTackle,WeakFoot,SkillMoves,attackRate,defendRate
179813,86,ST,185,77,84,84,84,79,81,81,81,79,68.0,87.0,89.0,75.0,88.0,75.0,75.0,76.0,52.0,79.0,74.0,76.0,74.0,88.0,59.0,88.0,88.0,90.0,79.0,77.0,84.0,54.0,92.0,75.0,85.0,80.0,57.0,48.0,39.0,4,3,High,High
233419,81,RW,175,68,75,75,75,80,79,79,79,80,76.0,72.0,45.0,74.0,72.0,84.0,81.0,72.0,66.0,80.0,91.0,91.0,86.0,82.0,79.0,80.0,74.0,83.0,64.0,74.0,74.0,55.0,81.0,75.0,73.0,79.0,45.0,54.0,38.0,3,4,High,Medium
239085,84,RS,193,87,83,83,83,77,80,80,80,77,46.0,87.0,67.0,74.0,82.0,75.0,77.0,62.0,49.0,78.0,80.0,88.0,75.0,83.0,67.0,93.0,70.0,78.0,91.0,83.0,82.0,41.0,86.0,68.0,80.0,83.0,45.0,38.0,30.0,3,3,High,High
235619,77,RW,167,64,68,68,68,77,75,75,75,77,68.0,65.0,37.0,73.0,55.0,85.0,70.0,60.0,60.0,81.0,86.0,82.0,92.0,78.0,92.0,67.0,45.0,75.0,35.0,65.0,48.0,30.0,73.0,69.0,58.0,78.0,38.0,33.0,27.0,3,4,High,Low
244778,78,RW,182,77,75,75,75,78,77,77,77,78,69.0,73.0,66.0,71.0,66.0,85.0,84.0,56.0,67.0,83.0,81.0,78.0,83.0,79.0,67.0,74.0,63.0,77.0,71.0,74.0,53.0,32.0,74.0,75.0,67.0,84.0,35.0,34.0,32.0,3,4,Medium,Medium
253004,76,LW,154,66,71,71,71,76,74,74,74,76,69.0,75.0,58.0,72.0,59.0,79.0,64.0,45.0,69.0,77.0,89.0,87.0,89.0,70.0,82.0,67.0,73.0,64.0,48.0,70.0,48.0,19.0,68.0,67.0,74.0,73.0,23.0,32.0,28.0,4,4,High,Medium
221479,79,ST,187,71,79,79,79,75,76,76,76,75,65.0,78.0,85.0,70.0,73.0,76.0,64.0,54.0,44.0,76.0,79.0,87.0,72.0,79.0,64.0,79.0,90.0,79.0,81.0,65.0,75.0,34.0,82.0,64.0,77.0,71.0,38.0,31.0,23.0,3,3,High,Medium
246420,71,LW,170,59,64,64,64,71,68,68,68,71,64.0,61.0,37.0,66.0,49.0,80.0,58.0,38.0,42.0,73.0,96.0,91.0,95.0,63.0,88.0,64.0,90.0,63.0,61.0,53.0,58.0,18.0,58.0,53.0,48.0,60.0,27.0,28.0,25.0,2,4,High,Medium
251954,68,RW,175,63,61,61,61,68,66,66,66,68,59.0,57.0,41.0,61.0,51.0,72.0,60.0,61.0,47.0,66.0,94.0,89.0,91.0,63.0,74.0,65.0,37.0,68.0,39.0,59.0,36.0,17.0,61.0,60.0,59.0,58.0,20.0,24.0,26.0,3,3,Medium,Low
246186,75,ST,185,88,75,75,75,70,72,72,72,70,50.0,76.0,75.0,73.0,76.0,73.0,61.0,30.0,35.0,75.0,72.0,71.0,68.0,68.0,62.0,77.0,79.0,70.0,85.0,69.0,57.0,24.0,75.0,58.0,58.0,69.0,27.0,24.0,25.0,4,3,High,Medium
236610,74,ST,182,72,74,74,74,70,72,72,72,70,42.0,76.0,72.0,59.0,72.0,78.0,66.0,43.0,38.0,76.0,77.0,79.0,74.0,73.0,78.0,74.0,75.0,65.0,73.0,60.0,45.0,21.0,78.0,51.0,65.0,69.0,27.0,28.0,16.0,3,3,High,Low
233848,73,LW,182,74,69,69,69,73,72,72,72,73,,,49.0,,,,,,,,,85.0,80.0,,72.0,,56.0,,67.0,,45.0,39.0,,,65.0,,43.0,,,3,4,High,Medium
233049,87,RW,154,76,77,77,77,86,84,84,84,86,83.0,81.0,38.0,88.0,83.0,92.0,81.0,48.0,68.0,91.0,86.0,81.0,91.0,87.0,90.0,70.0,51.0,77.0,67.0,63.0,44.0,39.0,83.0,87.0,60.0,84.0,32.0,41.0,32.0,3,5,High,Medium
183569,75,LW,190,91,75,75,75,73,74,74,74,73,65.0,73.0,72.0,74.0,73.0,80.0,74.0,44.0,63.0,76.0,71.0,74.0,73.0,74.0,61.0,77.0,68.0,73.0,77.0,64.0,55.0,40.0,76.0,67.0,68.0,75.0,31.0,36.0,20.0,4,3,High,Medium
238794,80,LW,175,73,74,74,74,80,78,78,78,80,71.0,68.0,50.0,72.0,70.0,88.0,77.0,62.0,67.0,85.0,95.0,95.0,94.0,75.0,82.0,73.0,75.0,79.0,62.0,68.0,58.0,26.0,75.0,73.0,65.0,74.0,32.0,25.0,18.0,4,5,High,Medium
244621,79,ST,190,83,79,79,79,73,77,77,77,73,45.0,83.0,70.0,68.0,76.0,77.0,65.0,36.0,47.0,78.0,74.0,76.0,65.0,81.0,42.0,84.0,52.0,77.0,89.0,70.0,84.0,41.0,84.0,62.0,71.0,86.0,44.0,33.0,25.0,3,3,High,Medium
213956,79,RW,154,72,72,72,72,79,76,76,76,79,79.0,66.0,40.0,72.0,52.0,92.0,67.0,42.0,54.0,83.0,97.0,96.0,85.0,66.0,88.0,78.0,79.0,77.0,87.0,65.0,70.0,41.0,64.0,69.0,47.0,73.0,37.0,38.0,35.0,2,4,High,Low
251566,74,LW,154,68,72,72,72,74,73,73,73,74,66.0,74.0,68.0,67.0,61.0,76.0,70.0,49.0,45.0,75.0,87.0,86.0,83.0,73.0,79.0,68.0,43.0,76.0,61.0,60.0,75.0,37.0,74.0,65.0,60.0,73.0,44.0,40.0,43.0,3,3,High,High
247394,77,RW,185,74,73,73,73,77,77,77,77,77,74.0,70.0,54.0,79.0,44.0,80.0,74.0,47.0,73.0,82.0,82.0,81.0,64.0,80.0,64.0,68.0,57.0,90.0,73.0,76.0,67.0,55.0,73.0,78.0,57.0,78.0,50.0,64.0,58.0,4,3,High,Medium
251852,69,ST,154,68,69,69,69,72,70,70,70,72,61.0,69.0,62.0,67.0,66.0,75.0,66.0,59.0,51.0,73.0,89.0,88.0,87.0,63.0,76.0,67.0,83.0,58.0,56.0,69.0,36.0,17.0,63.0,66.0,66.0,70.0,18.0,19.0,25.0,3,4,Medium,Medium
254544,71,CF,185,72,70,70,70,71,71,71,71,71,58.0,68.0,59.0,67.0,70.0,77.0,72.0,55.0,57.0,74.0,84.0,80.0,78.0,68.0,69.0,72.0,54.0,69.0,67.0,64.0,60.0,31.0,68.0,70.0,67.0,74.0,42.0,47.0,40.0,4,4,High,Medium
