playerID,overallrating,Position,Height,Weight,LWB,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,Speed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,DefensiveAwareness,StandingTackle,SlidingTackle,WeakFoot,SkillMoves,attackRate,defendRate
204472,77,RB,154,64,76,76,75,72,72,72,75,77.0,67.0,67.0,78.0,61.0,78.0,70.0,44.0,72.0,74.0,81.0,81.0,74.0,77.0,75.0,78.0,64.0,88.0,69.0,70.0,76.0,72.0,78.0,76.0,68.0,77.0,72.0,71.0,72.0,3,3,Medium,Medium
239890,77,CB,185,86,67,67,69,77,77,77,69,26.0,35.0,77.0,73.0,28.0,70.0,32.0,31.0,69.0,74.0,69.0,75.0,64.0,73.0,68.0,48.0,84.0,65.0,85.0,25.0,78.0,71.0,30.0,60.0,47.0,75.0,74.0,80.0,76.0,3,2,Medium,Medium
251804,75,LB,175,62,74,74,73,67,67,67,73,72.0,56.0,57.0,76.0,44.0,80.0,72.0,38.0,65.0,77.0,88.0,86.0,87.0,74.0,78.0,65.0,56.0,78.0,56.0,62.0,68.0,66.0,72.0,72.0,39.0,70.0,67.0,70.0,68.0,4,4,High,Low
247204,78,RB,154,78,76,76,76,75,75,75,76,75.0,57.0,68.0,77.0,44.0,72.0,73.0,47.0,65.0,73.0,79.0,80.0,74.0,75.0,69.0,77.0,78.0,79.0,74.0,62.0,79.0,72.0,71.0,61.0,48.0,65.0,70.0,78.0,79.0,3,3,High,Medium
234396,81,LB,154,72,79,79,79,76,76,76,79,73.0,67.0,64.0,77.0,59.0,85.0,67.0,44.0,58.0,79.0,96.0,96.0,85.0,79.0,82.0,71.0,77.0,79.0,74.0,63.0,77.0,76.0,75.0,68.0,60.0,74.0,77.0,77.0,79.0,4,4,High,Medium
212462,84,LB,154,71,83,83,82,78,78,78,82,89.0,65.0,67.0,83.0,67.0,82.0,87.0,79.0,87.0,82.0,84.0,85.0,73.0,83.0,70.0,87.0,80.0,91.0,68.0,83.0,78.0,80.0,75.0,76.0,81.0,78.0,80.0,81.0,79.0,2,3,High,High
243414,75,LB,182,63,73,73,73,71,71,71,73,68.0,54.0,59.0,71.0,62.0,73.0,61.0,30.0,61.0,72.0,78.0,83.0,76.0,72.0,67.0,69.0,72.0,75.0,60.0,50.0,82.0,73.0,66.0,60.0,41.0,72.0,71.0,73.0,74.0,3,3,High,Medium
245279,82,LB,154,68,80,80,80,76,76,76,80,79.0,52.0,75.0,79.0,49.0,78.0,70.0,43.0,67.0,81.0,82.0,87.0,76.0,79.0,72.0,62.0,66.0,80.0,65.0,56.0,73.0,79.0,74.0,68.0,42.0,72.0,78.0,79.0,78.0,3,3,High,Medium
229558,79,CB,185,89,70,70,72,79,79,79,72,48.0,39.0,81.0,75.0,21.0,68.0,32.0,28.0,73.0,65.0,69.0,84.0,62.0,70.0,65.0,54.0,88.0,61.0,90.0,34.0,81.0,77.0,45.0,58.0,39.0,69.0,75.0,84.0,77.0,3,2,Medium,Medium
234574,76,RB,182,76,74,74,74,73,73,73,74,78.0,52.0,69.0,75.0,44.0,78.0,76.0,44.0,60.0,75.0,78.0,79.0,73.0,75.0,72.0,78.0,84.0,74.0,74.0,64.0,80.0,75.0,70.0,68.0,43.0,75.0,69.0,72.0,68.0,3,3,High,Medium
