playerID,Name,Age,Nationality,Club,Value,Wage,preferredFoot
253283,Facundo Pellistri,18,Uruguay,Peñarol,4900000,500,Right
179813,Edinson Cavani,32,Uruguay,Paris Saint-Germain,35500000,150000,Right
245541,Giovanni Reyna,17,United States,Borussia Dortmund,1800000,2000,Right
233419,Raphael Dias Belloli,23,Brazil,Stade Rennais FC,23000000,50000,Left
198710,James Rodríguez,28,Colombia,Everton,22500000,105000,Left
239085,Erling Haaland,19,Norway,Borussia Dortmund,45000000,56000,Left
235619,Marcus Edwards,21,England,Vitória Guimarães,16000000,10000,Left
252371,Jude Bellingham,17,England,Borussia Dortmund,2100000,3000,Right
244778,Francisco Mota Castro Trincão,20,Portugal,FC Barcelona,20000000,105000,Left
204472,Bouna Sarr,28,France,Olympique de Marseille,7500000,36000,Right
246147,Mason Greenwood,18,England,Manchester United,14500000,33000,Left
253004,Anssumane Fati,17,Spain,FC Barcelona,15000000,24000,Right
221479,Dominic Calvert-Lewin,23,England,Everton,17000000,80000,Right
245367,Xavi Simons,17,Netherlands,Paris Saint-Germain,1100000,2000,Right
239890,Ozan Kabak,20,Turkey,FC Schalke 04,13000000,19000,Right
235945,Marc Roca Junqué,23,Spain,RCD Espanyol,11000000,8000,Left
251570,Rayan Cherki,16,France,Olympique Lyonnais,1700000,2000,Left
251804,Sergiño Dest,19,United States,Ajax,10000000,7000,Right
247204,Emerson Leite De Souza,21,Brazil,Real Betis,15000000,17000,Right
246420,Jérémy Doku,18,Belgium,RSC Anderlecht,4900000,6000,Right
200888,Danilo Luís Hélio Pereira,28,Portugal,FC Porto,20000000,20000,Right
234396,Alphonso Davies,19,Canada,FC Bayern München,22500000,40000,Left
251954,Crysencio Summerville,18,Netherlands,Leeds United,1800000,14000,Right
248243,Eduardo Camavinga,17,France,Stade Rennais FC,12000000,5000,Left
246186,Arthur Mendonça Cabral,22,Brazil,FC Basel 1893,10500000,16000,Right
236610,Moise Kean,20,Italy,Everton,9000000,48000,Right
255475,Antony Matheus dos Santos,20,Brazil,Ajax,17000000,15000,Left
241096,Sandro Tonali,20,Italy,Milan,18500000,25000,Right
233848,Jens Petter Hauge,20,Norway,FK Bodø/Glimt,6000000,4000,Right
222665,Martin Ødegaard,21,Norway,Real Madrid,36000000,135000,Left
246669,Bukayo Saka,18,England,Arsenal,12000000,22000,Left
233049,Jadon Sancho,20,England,Borussia Dortmund,69500000,82000,Right
246960,Mohamed Ihattaren,18,Netherlands,PSV,14000000,7000,Left
212462,Alex Nicolao Telles,27,Brazil,FC Porto,31000000,23000,Left
245371,Thiago Almada,19,Argentina,Vélez Sarsfield,8500000,8000,Right
256630,Florian Wirtz,17,Germany,Bayer 04 Leverkusen,1800000,3000,Right
243414,Brandon Williams,19,England,Manchester United,9500000,40000,Right
254796,Noni Madueke,18,England,PSV,3700000,3000,Left
245279,Sergio Reguilón Rodríguez,23,Spain,Tottenham Hotspur,27500000,85000,Left
183569,Eric Maxim Choupo-Moting,31,Cameroon,,0,0,Right
212198,Bruno Miguel Borges Fernandes,25,Portugal,Manchester United,63000000,195000,Right
229558,Dayot Upamecano,21,France,RB Leipzig,20000000,36000,Right
234574,José Diogo Dalot Teixeira,21,Portugal,Manchester United,11000000,56000,Right
237681,Takefusa Kubo,19,Japan,Villarreal CF,14500000,16000,Left
216388,Allan Saint-Maximin,23,France,Newcastle United,20500000,43000,Right
235790,Kai Havertz,21,Germany,Chelsea,57000000,105000,Left
238794,Vinícius José de Oliveira Júnior,19,Brazil,Real Madrid,27500000,95000,Right
247263,Edmond Tapsoba,21,Burkina Faso,Bayer 04 Leverkusen,15500000,38000,Right
234906,Houssem Aouar,22,France,Olympique Lyonnais,26000000,65000,Right
240243,Matheus Santos Carneiro Da Cunha,21,Brazil,Hertha BSC,16000000,34000,Right
231747,Kylian Mbappé,21,France,Paris Saint-Germain,105500000,160000,Right
244621,Carlos Vinícius Alves Morais,25,Brazil,SL Benfica,17000000,18000,Left
243630,Jonathan David,20,Canada,LOSC Lille,15500000,29000,Right
242418,Tariq Lamptey,19,England,Brighton & Hove Albion,1300000,7000,Right
231677,Marcus Rashford,22,England,Manchester United,53000000,150000,Right
228702,Frenkie de Jong,23,Netherlands,FC Barcelona,50500000,190000,Right
224081,Kalvin Phillips,24,England,Leeds United,9500000,64000,Right
236772,Dominik Szoboszlai,19,Hungary,FC Red Bull Salzburg,11500000,15000,Right
242816,Ricard Puig Martí,20,Spain,FC Barcelona,12500000,77000,Right
246646,Maxence Caqueret,20,France,Olympique Lyonnais,12000000,37000,Right
245037,Eric García Martret,19,Spain,Manchester City,5500000,32000,Right
212814,João Mário Naval Costa Eduardo,27,Portugal,Inter,16500000,99000,Right
213956,Adama Traoré Diarra,24,Spain,Wolverhampton Wanderers,17500000,80000,Right
236987,Boubacar Kamara,20,France,Olympique de Marseille,17000000,29000,Right
239818,Rúben Santos Gato Alves Dias,23,Portugal,Manchester City,22000000,105000,Right
251566,Gabriel Teodoro Martinelli Silva,19,Brazil,Arsenal,9500000,38000,Right
247394,Dejan Kulusevski,20,Sweden,Juventus,14500000,54000,Left
251852,Karim Adeyemi,18,Germany,FC Red Bull Salzburg,2200000,5000,Left
243715,William Saliba,19,France,Arsenal,10000000,28000,Right
239231,Marc Cucurella Saseta,21,Spain,Getafe CF,26500000,28000,Left
254544,Reinier Jesus Carvalho,18,Brazil,Borussia Dortmund,4900000,13000,Right
236498,Sam Lammers,23,Netherlands,Atalanta,8000000,39000,Left
242444,João Félix Sequeira,20,Portugal,Atlético Madrid,32000000,51000,Right
246104,Ryan Gravenberch,18,Netherlands,Ajax,4800000,4000,Right
226166,Nordi Mukiele,22,France,RB Leipzig,18500000,46000,Right
239053,Federico Valverde,21,Uruguay,Real Madrid,36000000,135000,Right
235212,Achraf Hakimi,21,Morocco,Inter,35000000,92000,Right
251854,Pedro González López,17,Spain,FC Barcelona,6000000,10000,Right
243812,Rodrygo Silva de Goes,19,Brazil,Real Madrid,21000000,90000,Right
240740,Callum Hudson-Odoi,19,England,Chelsea,10000000,41000,Right
256632,Luis Henrique Tomaz de Lima,18,Brazil,Olympique de Marseille,1600000,5000,Right
158023,Lionel Messi,33,Argentina,FC Barcelona,67500000,560000,Left
239744,Mickaël Cuisance,20,France,FC Bayern München,4000000,27000,Left
222716,Everton Sousa Soares,24,Brazil,SL Benfica,24000000,17000,Right
241461,Ferran Torres García,20,Spain,Manchester City,26500000,97000,Right
246618,Adam Hložek,17,Czech Republic,Sparta Praha,9500000,500,Right
250961,Joshua Zirkzee,19,Netherlands,FC Bayern München,1900000,15000,Right
239956,Myron Boadu,19,Netherlands,AZ Alkmaar,11500000,7000,Right
233731,Alexander Isak,20,Sweden,Real Sociedad,18000000,28000,Right
237678,Ibrahima Konaté,21,France,RB Leipzig,15500000,33000,Right
212622,Joshua Kimmich,25,Germany,FC Bayern München,65000000,145000,Right
225953,Steven Bergwijn,22,Netherlands,Tottenham Hotspur,34500000,105000,Right
236532,Robin Koch,23,Germany,Leeds United,10500000,64000,Right
238074,Reece James,20,England,Chelsea,12500000,49000,Right
255257,Joelson Augusto Mendes Mango,17,Portugal,Sporting CP,2100000,1000,Right
20801,C. Ronaldo dos Santos Aveiro,35,Portugal,Juventus,46000000,220000,Right
245992,Billy Gilmour,19,Scotland,Chelsea,5000000,25000,Right
252037,Fábio Daniel Soares Silva,17,Portugal,Wolverhampton Wanderers,2100000,7000,Right
230142,Mikel Oyarzabal Ugarte,23,Spain,Real Sociedad,42500000,47000,Left
231943,Richarlison de Andrade,23,Brazil,Everton,25500000,90000,Right
245388,Jean-Clair Todibo,20,France,FC Barcelona,10500000,68000,Right
242641,Rayan Aït Nouri,19,France,Angers SCO,4700000,7000,Left
231478,Lautaro Martínez,22,Argentina,Inter,44500000,130000,Right
232293,Victor Osimhen,21,Nigeria,Napoli,19000000,54000,Right
258315,Bright Akwo Arrey-Mbi,17,Germany,Bayern München II,425000,500,Left
240950,Pedro António Pereira Gonçalves,22,Portugal,Sporting CP,13000000,12000,Right
245155,Mohammed Kudus,19,Ghana,Ajax,10500000,9000,Left
211300,Anthony Martial,24,France,Manchester United,41000000,155000,Right
256612,F. Evanilson de Lima Barbosa,20,Brazil,FC Porto,9000000,9000,Right
226491,Kieran Tierney,23,Scotland,Arsenal,13500000,59000,Left
200104,Heung Min Son,27,Korea Republic,Tottenham Hotspur,52500000,165000,Right
232580,Gabriel dos S. Magalhães,22,Brazil,Arsenal,13000000,59000,Left
223697,Robin Gosens,25,Germany,Atalanta,24000000,68000,Left
243392,Rabbi Matondo,19,Wales,FC Schalke 04,3800000,8000,Right
173731,Gareth Bale,30,Wales,Tottenham Hotspur,24500000,130000,Left
246469,Agustín Urzi,20,Argentina,Club Atlético Banfield,9000000,10000,Left
251530,Nuno Albertino Varela Tavares,20,Portugal,SL Benfica,5500000,6000,Left
245278,Tomás Franco Tavares,19,Portugal,SL Benfica,6500000,5000,Right
231443,Ousmane Dembélé,23,France,FC Barcelona,35500000,175000,Left
210035,Alejandro Grimaldo García,24,Spain,SL Benfica,35500000,20000,Left
221363,Donny van de Beek,23,Netherlands,Manchester United,33000000,125000,Right
229261,Denis Zakaria,23,Switzerland,Borussia Mönchengladbach,30500000,45000,Right
252144,Eduardo Filipe Quaresma,18,Portugal,Sporting CP,6000000,3000,Right
229880,Aaron Wan-Bissaka,22,England,Manchester United,30500000,115000,Right
247851,Bruno Guimarães Moura,22,Brazil,Olympique Lyonnais,15500000,52000,Right
189242,Philippe Coutinho Correia,28,Brazil,FC Barcelona,26000000,190000,Right
252961,Tanguy Kouassi,18,France,FC Bayern München,4600000,10000,Right
242656,Illan Meslier,20,France,Leeds United,1500000,18000,Left
234378,Declan Rice,21,England,West Ham United,16500000,31000,Right
212188,Timo Werner,24,Germany,Chelsea,49500000,135000,Right
251573,Renan Augusto Lodi dos Santos,22,Brazil,Atlético Madrid,21500000,49000,Left
228092,Sander Berge,22,Norway,Sheffield United,16000000,34000,Right
231447,Donyell Malen,21,Netherlands,PSV,15000000,17000,Right
253149,Jeremie Frimpong,19,Netherlands,Celtic,3500000,13000,Right
236632,David Neres Campos,23,Brazil,Ajax,20000000,21000,Left
202556,Memphis Depay,26,Netherlands,Olympique Lyonnais,48500000,115000,Right
206113,Serge Gnabry,24,Germany,FC Bayern München,47500000,100000,Right
229167,Milot Rashica,24,Kosovo,SV Werder Bremen,17500000,32000,Right
252145,Nuno Alexandre Tavares Mendes,18,Portugal,Sporting CP,6000000,3000,Left
236988,Eddie Nketiah,21,England,Arsenal,4300000,35000,Right
241852,Moussa Diaby,20,France,Bayer 04 Leverkusen,25000000,54000,Left
199914,Allan Marques Loureiro,29,Brazil,Everton,25000000,115000,Right
244260,Daniel Olmo Carvajal,22,Spain,RB Leipzig,18500000,48000,Right
237692,Phil Foden,20,England,Manchester City,19500000,86000,Left
143076,Alejandro Gómez,32,Argentina,Atalanta,34500000,100000,Right
238460,Rhian Brewster,20,England,Liverpool,3900000,32000,Right
241486,Jules Koundé,21,France,Sevilla FC,16000000,21000,Right
244316,Luís Manuel Arantes Maximiano,21,Portugal,Sporting CP,13500000,7000,Right
235883,Ryan Sessegnon,20,England,Tottenham Hotspur,11500000,50000,Left
244470,Vladimír Coufal,27,Czech Republic,SK Slavia Praha,9000000,500,Right
233064,Mason Mount,21,England,Chelsea,21000000,69000,Right
224458,Diogo José Teixeira da Silva,23,Portugal,Liverpool,20500000,90000,Right
246174,Harvey Elliott,17,England,Liverpool,1100000,4000,Left
225375,Konrad Laimer,23,Austria,RB Leipzig,26000000,53000,Right
234569,Florentino Morris Luís,20,Portugal,AS Monaco,11500000,29000,Right
242434,Curtis Jones,19,England,Liverpool,950000,9000,Right
236920,Justin Kluivert,21,Netherlands,Roma,9000000,500,Right
238744,Weston McKennie,21,United States,Juventus,10000000,43000,Right
242879,Maarten Vandevoordt,18,Belgium,KRC Genk,1500000,550,Right
226161,Marcos Llorente Moreno,25,Spain,Atlético Madrid,27500000,65000,Right
190871,Neymar da Silva Santos Jr.,28,Brazil,Paris Saint-Germain,90000000,270000,Right
240130,Éder Gabriel Militão,22,Brazil,Real Madrid,19000000,115000,Right
251517,Joško Gvardiol,18,Croatia,Dinamo Zagreb,2000000,500,Left
241464,Pau Francisco Torres,23,Spain,Villarreal CF,14000000,26000,Left
209989,Thomas Partey,27,Ghana,Atlético Madrid,35000000,81000,Right
234642,Édouard Mendy,28,Senegal,Chelsea,11000000,69000,Right
235243,Matthijs de Ligt,20,Netherlands,Juventus,49500000,80000,Right
224232,Nicolò Barella,23,Italy,Inter,20500000,86000,Right
238359,Marcus Wendel Valle da Silva,22,Brazil,Sporting CP,19000000,15000,Right
195864,Paul Pogba,27,France,Manchester United,50000000,190000,Right
236572,Owen Wijndal,20,Netherlands,AZ Alkmaar,12500000,8000,Left
232656,Theo Hernández,22,France,Milan,17500000,37000,Left
230658,Arthur Henrique Ramos Oliveira Melo,23,Brazil,Juventus,41000000,98000,Right
252042,João Pedro Junqueira de Jesus,18,Brazil,Watford,2200000,4000,Right
227928,Nélson Cabral Semedo,26,Portugal,Wolverhampton Wanderers,28000000,100000,Right
250954,Chris Richards,20,United States,Bayern München II,1300000,2000,Right
225100,Joe Gomez,23,England,Liverpool,31000000,93000,Right
232756,Fikayo Tomori,22,England,Chelsea,11000000,55000,Right
240060,Max Aarons,20,England,Norwich City,6000000,7000,Right
222492,Leroy Sané,24,Germany,FC Bayern München,51500000,100000,Left
213648,Pierre-Emile Højbjerg,24,Denmark,Tottenham Hotspur,17500000,73000,Right
242602,Josha Vagnoman,19,Germany,Hamburger SV,2100000,3000,Right
210413,Alessio Romagnoli,25,Italy,Milan,30000000,51000,Left
200458,Lucas Digne,26,France,Everton,31500000,110000,Left
202126,Harry Kane,26,England,Tottenham Hotspur,71000000,220000,Right
209658,Leon Goretzka,25,Germany,FC Bayern München,39500000,105000,Right
247888,Sebastiano Esposito,17,Italy,SPAL,1300000,2000,Right
233306,Dean Henderson,23,England,Manchester United,16000000,70000,Right
248695,Wesley Fofana,19,France,AS Saint-Étienne,3800000,9000,Right
205193,Karim Rekik,25,Netherlands,Hertha BSC,7500000,33000,Left
198329,Rodrigo Moreno Machado,29,Spain,Leeds United,22000000,140000,Left
211591,Moussa Dembélé,23,France,Olympique Lyonnais,23500000,71000,Right
239301,Lisandro Martínez,22,Argentina,Ajax,13500000,15000,Left
256781,Luca Netz,17,Germany,Hertha BSC,750000,500,Left
223848,Sergej Milinković-Savić,25,Serbia,Lazio,49000000,94000,Right
238616,Pedro Lomba Neto,20,Portugal,Wolverhampton Wanderers,5500000,39000,Left
235454,Malang Sarr,21,France,Chelsea,8000000,44000,Left
231410,Brahim Díaz,20,Spain,Milan,10000000,26000,Right
206517,Jack Grealish,24,England,Aston Villa,19000000,65000,Right
205498,Luiz Frello Filho Jorge,28,Italy,Chelsea,25500000,125000,Right
232104,Daniel James,22,Wales,Manchester United,12000000,81000,Right
226380,Hee Chan Hwang,24,Korea Republic,RB Leipzig,12000000,45000,Right
210243,Ricardo Barbosa Pereira,26,Portugal,Leicester City,40500000,120000,Right
228618,Ferland Mendy,25,France,Real Madrid,30500000,160000,Left
225782,Ainsley Maitland-Niles,22,England,Arsenal,10000000,52000,Right
188545,Robert Lewandowski,31,Poland,FC Bayern München,80000000,240000,Right
232411,Christopher Nkunku,22,France,RB Leipzig,20500000,50000,Right
240699,Nicolás De la Cruz,23,Uruguay,River Plate,13500000,16000,Right
229984,Ben Chilwell,23,England,Chelsea,20500000,79000,Left
243952,Andriy Lunin,21,Ukraine,Real Madrid,9500000,50000,Right
232432,Luka Jović,22,Serbia,Real Madrid,20000000,140000,Right
216267,Andrew Robertson,26,Scotland,Liverpool,53000000,155000,Left
203263,Harry Maguire,27,England,Manchester United,24000000,120000,Right
237329,Joseph Willock,20,England,Arsenal,5000000,31000,Right
211320,Daniele Rugani,25,Italy,Juventus,16500000,71000,Right
252038,Romário Manuel Silva Baró,20,Portugal,FC Porto,7000000,8000,Right
206534,Patrick Bamford,26,England,Leeds United,2800000,56000,Left
239452,Ibrahima Diallo,21,France,Stade Brestois 29,4000000,9000,Right
235569,Tanguy Ndombele,23,France,Tottenham Hotspur,20500000,82000,Right
176580,Luis Suárez,33,Uruguay,Atlético Madrid,31500000,115000,Right
246682,Karamoko Dembélé,17,England,Celtic,800000,1000,Left
237942,Pervis Estupiñán,22,Ecuador,Villarreal CF,15500000,29000,Left
226627,Takumi Minamino,25,Japan,Liverpool,11000000,79000,Right
194765,Antoine Griezmann,29,France,FC Barcelona,50500000,290000,Left
253465,Teden Mengi,18,England,Manchester United,1000000,6000,Right
41236,Zlatan Ibrahimović,38,Sweden,Milan,9500000,49000,Right
226110,Nicolas Pépé,25,Ivory Coast,Arsenal,28000000,98000,Left
165153,Karim Benzema,32,France,Real Madrid,53000000,350000,Right
211110,Paulo Dybala,26,Argentina,Juventus,71000000,190000,Left
240754,Youcef Atal,24,Algeria,OGC Nice,15500000,32000,Right
224371,Jarrod Bowen,23,England,West Ham United,12500000,35000,Left
232119,Çağlar Söyüncü,24,Turkey,Leicester City,18000000,69000,Right
231448,Reiss Nelson,20,England,Arsenal,5000000,39000,Right
205632,Lucas Ocampos,25,Argentina,Sevilla FC,26500000,40000,Right
238067,Nicolò Zaniolo,20,Italy,Roma,12500000,500,Left
228509,Jeff Reine-Adélaïde,22,France,Olympique Lyonnais,10500000,43000,Right
228093,Marcus Thuram,22,France,Borussia Mönchengladbach,20500000,43000,Right
222331,Lukas Klostermann,24,Germany,RB Leipzig,18000000,46000,Right
241202,Patson Daka,21,Zambia,FC Red Bull Salzburg,12000000,22000,Right
236792,Tomáš Souček,25,Czech Republic,West Ham United,21500000,46000,Right
226790,Wilfred Ndidi,23,Nigeria,Leicester City,36500000,96000,Right
220814,Lucas Hernández,24,France,FC Bayern München,26500000,70000,Left
244193,Jovane Eduardo Borges Cabral,22,Cape Verde,Sporting CP,14500000,14000,Right
189509,Thiago Alcântara,29,Spain,Liverpool,37000000,150000,Right
188567,Pierre-Emerick Aubameyang,31,Gabon,Arsenal,45000000,170000,Right
